failed_attempt_count,unique_ports_accessed,request_frequency,sql_flag,time_gap,label
1.0,1.0,1.0,0,0.0,0
0.0,1.0,1.0,0,34419.0,0
0.0,1.0,1.0,0,631.0,0
0.0,1.0,1.0,0,28266.0,0
0.0,1.0,1.0,0,39465.0,0
0.0,1.0,1.0,0,94504.0,0
0.0,1.0,1.0,0,41353.0,0
0.0,2.0,1.0,0,89.0,0
0.0,1.0,1.0,0,23589.0,0
0.0,1.0,1.0,0,24128.0,0
0.0,1.0,1.0,0,25843.0,0
0.0,1.0,1.0,0,9517.0,0
0.0,1.0,1.0,0,1516.0,0
0.0,1.0,1.0,0,4308.0,0
1.0,1.0,1.0,0,1700.0,0
0.0,1.0,1.0,0,37506.0,0
0.0,1.0,1.0,0,15349.0,0
1.0,1.0,1.0,0,60945.0,0
0.0,1.0,1.0,0,12678.0,0
0.0,1.0,1.0,0,29668.0,0
0.0,1.0,1.0,0,2139.0,0
0.0,1.0,1.0,0,13913.0,0
0.0,1.0,1.0,0,98237.0,0
0.0,1.0,1.0,0,18689.0,0
0.0,1.0,1.0,0,98816.0,0
0.0,1.0,1.0,0,60598.0,0
0.0,1.0,1.0,0,15173.0,0
0.0,1.0,1.0,0,62381.0,0
0.0,1.0,1.0,0,142888.0,0
0.0,1.0,1.0,0,38078.0,0
0.0,1.0,1.0,0,3802.0,0
0.0,1.0,1.0,0,3987.0,0
0.0,1.0,1.0,0,46771.0,0
0.0,1.0,1.0,0,22446.0,0
0.0,1.0,1.0,0,42838.0,0
0.0,1.0,1.0,0,26114.0,0
0.0,1.0,1.0,0,26070.0,0
0.0,1.0,1.0,0,2934.0,0
0.0,1.0,1.0,0,16334.0,0
0.0,1.0,1.0,0,10199.0,0
0.0,1.0,1.0,0,35221.0,0
0.0,1.0,1.0,0,64728.0,0
0.0,1.0,1.0,0,32513.0,0
0.0,1.0,1.0,0,50234.0,0
0.0,1.0,1.0,0,23327.0,0
0.0,1.0,1.0,0,10963.0,0
1.0,1.0,1.0,0,63285.0,0
0.0,1.0,1.0,0,21306.0,0
0.0,1.0,1.0,0,21351.0,0
0.0,1.0,1.0,0,166621.0,0
0.0,1.0,1.0,0,13509.0,0
0.0,1.0,1.0,0,20973.0,0
1.0,1.0,1.0,0,2068.0,0
0.0,1.0,1.0,0,26923.0,0
0.0,1.0,1.0,0,516.0,0
0.0,1.0,1.0,0,13288.0,0
0.0,1.0,1.0,0,5082.0,0
0.0,1.0,1.0,0,7674.0,0
1.0,1.0,1.0,0,8389.0,0
0.0,1.0,1.0,0,137814.0,1
0.0,1.0,1.0,0,79864.0,1
0.0,1.0,1.0,0,26956.0,1
0.0,1.0,1.0,0,61904.0,1
0.0,1.0,1.0,0,22598.0,1
0.0,1.0,1.0,0,39617.0,1
0.0,1.0,1.0,0,18543.0,1
0.0,1.0,1.0,0,1917.0,1
0.0,1.0,1.0,0,34596.0,1
0.0,1.0,1.0,0,5058.0,1
0.0,1.0,1.0,0,40317.0,1
0.0,1.0,1.0,0,81601.0,1
0.0,1.0,1.0,0,4782.0,1
0.0,1.0,1.0,0,0.0,0
0.0,1.0,1.0,0,7111.0,0
0.0,1.0,1.0,0,26289.0,0
0.0,1.0,1.0,0,78609.0,0
0.0,1.0,1.0,0,603.0,0
0.0,1.0,1.0,0,41981.0,0
0.0,1.0,1.0,0,20957.0,0
0.0,1.0,1.0,0,83842.0,0
0.0,1.0,1.0,0,65784.0,0
0.0,1.0,1.0,0,41140.0,0
0.0,1.0,1.0,0,2978.0,0
0.0,1.0,1.0,0,4528.0,0
