failed_attempt_count,unique_ports_accessed,request_frequency,sql_flag,time_gap,label,ml_pred
0.0,1.0,1.0,0,137814.0,1,0
0.0,1.0,1.0,0,79864.0,1,0
0.0,1.0,1.0,0,26956.0,1,0
0.0,1.0,1.0,0,61904.0,1,0
0.0,1.0,1.0,0,22598.0,1,0
0.0,1.0,1.0,0,39617.0,1,0
0.0,1.0,1.0,0,18543.0,1,0
0.0,1.0,1.0,0,1917.0,1,0
0.0,1.0,1.0,0,34596.0,1,0
0.0,1.0,1.0,0,5058.0,1,0
0.0,1.0,1.0,0,40317.0,1,0
0.0,1.0,1.0,0,81601.0,1,0
0.0,1.0,1.0,0,4782.0,1,0
0.0,1.0,1.0,0,34415.0,1,0
0.0,1.0,1.0,0,7826.0,1,0
1.0,1.0,1.0,0,42200.0,1,0
0.0,1.0,1.0,0,17219.0,1,0
0.0,1.0,1.0,0,165125.0,1,0
0.0,1.0,1.0,0,22316.0,1,0
0.0,1.0,1.0,0,58811.0,1,0
0.0,1.0,1.0,0,53523.0,1,0
0.0,1.0,1.0,0,22606.0,1,0
0.0,1.0,1.0,0,43951.0,1,0
0.0,1.0,1.0,0,99645.0,1,0
0.0,1.0,1.0,0,26690.0,1,0
0.0,1.0,1.0,0,59682.0,1,0
0.0,1.0,1.0,0,57192.0,1,0
0.0,1.0,1.0,0,28460.0,1,0
0.0,1.0,1.0,0,9111.0,1,0
0.0,1.0,1.0,0,39043.0,1,0
0.0,1.0,1.0,0,6082.0,1,0
0.0,1.0,1.0,0,5149.0,1,0
0.0,1.0,1.0,0,16899.0,1,0
0.0,1.0,1.0,0,8464.0,1,0
0.0,1.0,1.0,0,45987.0,1,0
0.0,1.0,1.0,0,19429.0,1,0
0.0,1.0,1.0,0,557.0,1,0
1.0,1.0,1.0,0,10003.0,1,0
1.0,1.0,1.0,0,27737.0,1,0
0.0,1.0,1.0,0,43698.0,1,0
0.0,1.0,1.0,0,4668.0,1,0
0.0,1.0,1.0,0,630.0,1,0
0.0,1.0,1.0,0,26585.0,1,0
0.0,2.0,2.0,0,12.0,0,1
0.0,1.0,1.0,0,42781.0,1,0
0.0,1.0,1.0,0,6497.0,1,0
0.0,1.0,1.0,0,86794.0,1,0
0.0,1.0,1.0,0,40570.0,1,0
0.0,1.0,1.0,0,104686.0,1,0
0.0,1.0,1.0,0,10511.0,1,0
0.0,1.0,1.0,0,29898.0,1,0
0.0,1.0,1.0,0,15183.0,1,0
0.0,1.0,1.0,0,29949.0,1,0
0.0,1.0,1.0,0,2658.0,1,0
0.0,1.0,1.0,0,5584.0,1,0
0.0,1.0,1.0,0,62244.0,1,0
0.0,1.0,1.0,0,4002.0,1,0
0.0,1.0,1.0,0,106630.0,1,0
0.0,1.0,1.0,0,29711.0,1,0
0.0,1.0,1.0,0,18197.0,1,0
0.0,1.0,1.0,0,26949.0,1,0
0.0,1.0,1.0,0,21326.0,1,0
0.0,1.0,1.0,0,27188.0,1,0
0.0,1.0,1.0,0,14012.0,1,0
0.0,1.0,1.0,0,40228.0,1,0
0.0,1.0,1.0,0,40254.0,1,0
0.0,1.0,1.0,0,8248.0,1,0
0.0,1.0,1.0,0,17755.0,1,0
0.0,1.0,1.0,0,35704.0,1,0
1.0,1.0,1.0,0,8392.0,1,0
0.0,1.0,1.0,0,96290.0,1,0
0.0,1.0,1.0,0,21534.0,1,0
0.0,1.0,1.0,0,123156.0,1,0
0.0,1.0,1.0,0,13232.0,1,0
0.0,1.0,1.0,0,32408.0,1,0
1.0,1.0,1.0,0,691.0,1,0
0.0,1.0,1.0,0,23467.0,1,0
0.0,1.0,1.0,0,47088.0,1,0
1.0,1.0,1.0,0,50909.0,1,0
0.0,1.0,1.0,0,9397.0,1,0
0.0,1.0,1.0,0,94928.0,1,0
1.0,1.0,1.0,0,16120.0,1,0
0.0,1.0,1.0,0,10762.0,1,0
0.0,1.0,1.0,0,6384.0,1,0
1.0,1.0,1.0,0,46806.0,1,0
0.0,1.0,1.0,0,20824.0,1,0
0.0,1.0,1.0,0,929.0,1,0
0.0,1.0,1.0,0,84841.0,1,0
0.0,1.0,1.0,0,102357.0,1,0
0.0,1.0,1.0,0,37239.0,1,0
0.0,1.0,1.0,0,33036.0,1,0
0.0,1.0,1.0,0,28723.0,1,0
0.0,1.0,1.0,0,9577.0,1,0
0.0,1.0,1.0,0,39218.0,1,0
0.0,1.0,1.0,0,48958.0,1,0
0.0,1.0,1.0,0,24904.0,1,0
0.0,1.0,1.0,0,18895.0,1,0
0.0,1.0,1.0,0,54926.0,1,0
0.0,1.0,1.0,0,80391.0,1,0
0.0,1.0,1.0,0,5081.0,1,0
0.0,1.0,1.0,0,5515.0,1,0
0.0,1.0,1.0,0,21673.0,1,0
0.0,1.0,1.0,0,19836.0,1,0
0.0,1.0,1.0,0,3452.0,1,0
0.0,1.0,1.0,0,33174.0,1,0
0.0,1.0,1.0,0,24567.0,1,0
0.0,1.0,1.0,0,87419.0,1,0
0.0,1.0,1.0,0,16313.0,1,0
0.0,1.0,1.0,0,306.0,1,0
0.0,1.0,1.0,0,49014.0,1,0
